title,features,description,price,average_rating,rating_number,itemId,all_reviews_text,metadata_text_count,has_review_text
Muppet Treasure Island (1996),Action|Adventure|Comedy|Musical|Thriller,,,,,106, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Braveheart (1995),Action|Drama|War,,,,,408, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Taxi Driver (1976),Drama|Thriller,,,,,94, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Rumble in the Bronx (1995),Action|Adventure|Crime,,,,,613, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Birdcage, The (1996)",Comedy,,,,,86, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Brothers McMullen, The (1995)",Comedy,,,,,64, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Bad Boys (1995),Action,,,,,589, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Apollo 13 (1995),Action|Drama|Thriller,,,,,471, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Batman Forever (1995),Action|Adventure|Comedy|Crime,,,,,14, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Belle de jour (1967),Drama,,,,,908, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Crimson Tide (1995),Drama|Thriller|War,,,,,864, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Crumb (1994),Documentary,,,,,38, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Desperado (1995),Action|Romance|Thriller,,,,,249, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Doom Generation, The (1995)",Comedy|Drama,,,,,775, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,,,,,1279, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Mad Love (1995),Drama|Romance,,,,,724, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Nadja (1994),Drama,,,,,927, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Net, The (1995)",Sci-Fi|Thriller,,,,,543, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Strange Days (1995),Action|Crime|Sci-Fi,,,,,462, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,,,,,13, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Billy Madison (1995),Comedy,,,,,953, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Clerks (1994),Comedy,,,,,734, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Disclosure (1994),Drama|Thriller,,,,,615, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Dolores Claiborne (1994),Drama|Thriller,,,,,469, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Eat Drink Man Woman (1994),Comedy|Drama,,,,,942, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Exotica (1994),Drama,,,,,1211, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Ed Wood (1994),Comedy|Drama,,,,,337, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Hoop Dreams (1994),Documentary,,,,,170, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
I.Q. (1994),Comedy|Romance,,,,,447, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Star Wars (1977),Action|Adventure|Romance|Sci-Fi|War,,,,,357, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Legends of the Fall (1994),Drama|Romance|War|Western,,,,,3, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Madness of King George, The (1994)",Drama,,,,,473, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Natural Born Killers (1994),Action|Thriller,,,,,527, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Outbreak (1995),Action|Drama|Thriller,,,,,79, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Professional, The (1994)",Crime|Drama|Romance|Thriller,,,,,399, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Pulp Fiction (1994),Crime|Drama,,,,,216, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Priest (1994),Drama,,,,,379, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Quiz Show (1994),Drama,,,,,390, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Three Colors: Red (1994),Drama,,,,,574, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Three Colors: Blue (1993),Drama,,,,,330, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Three Colors: White (1994),Drama,,,,,169, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Stargate (1994),Action|Adventure|Sci-Fi,,,,,296, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Santa Clause, The (1994)",Children's|Comedy,,,,,820, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Shawshank Redemption, The (1994)",Drama,,,,,239, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
What's Eating Gilbert Grape (1993),Comedy|Drama,,,,,203, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
While You Were Sleeping (1995),Comedy|Romance,,,,,291, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Ace Ventura: Pet Detective (1994),Comedy,,,,,834, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Crow, The (1994)",Action|Romance|Thriller,,,,,208, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Forrest Gump (1994),Comedy|Romance|War,,,,,191, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Four Weddings and a Funeral (1994),Comedy|Romance,,,,,423, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Lion King, The (1994)",Animation|Children's|Musical,,,,,309, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Mask, The (1994)",Comedy|Crime|Fantasy,,,,,549, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Maverick (1994),Action|Comedy|Western,,,,,556, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama,,,,,940, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Brother Minister: The Assassination of Malcolm X (1994),Documentary,,,,,1324, [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Carlito's Way (1993),Crime|Drama,,,,,1009, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Firm, The (1993)",Drama|Thriller,,,,,172, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Free Willy (1993),Adventure|Children's|Drama,,,,,313, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Fugitive, The (1993)",Action|Thriller,,,,,156, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Hot Shots! Part Deux (1993),Action|Comedy|War,,,,,328, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Hudsucker Proxy, The (1994)",Comedy|Romance,,,,,405, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Jurassic Park (1993),Action|Adventure|Sci-Fi,,,,,231, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Much Ado About Nothing (1993),Comedy|Romance,,,,,693, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Robert A. Heinlein's The Puppet Masters (1994),Horror|Sci-Fi,,,,,984, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Ref, The (1994)",Comedy,,,,,591, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Remains of the Day, The (1993)",Drama,,,,,9, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Searching for Bobby Fischer (1993),Drama,,,,,547, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Sleepless in Seattle (1993),Comedy|Romance,,,,,33, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Blade Runner (1982),Film-Noir|Sci-Fi,,,,,217, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,,,,,778, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Nightmare Before Christmas, The (1993)",Children's|Comedy|Musical,,,,,529, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
True Romance (1993),Action|Crime|Romance,,,,,499, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Welcome to the Dollhouse (1995),Comedy|Drama,,,,,534, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Home Alone (1990),Children's|Comedy,,,,,363, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Aladdin (1992),Animation|Children's|Comedy|Musical,,,,,26, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,,,,,102, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Dances with Wolves (1990),Adventure|Drama|Western,,,,,320, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Silence of the Lambs, The (1991)",Drama|Thriller,,,,,31, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Snow White and the Seven Dwarfs (1937),Animation|Children's|Musical,,,,,480, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Fargo (1996),Crime|Drama|Thriller,,,,,49, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi,,,,,796, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Aristocats, The (1970)",Animation|Children's,,,,,726, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
All Dogs Go to Heaven 2 (1996),Animation|Children's|Musical,,,,,776, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Theodore Rex (1995),Comedy,,,,,917, [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Sgt. Bilko (1996),Comedy,,,,,555, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Diabolique (1996),Drama|Thriller,,,,,190, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Moll Flanders (1996),Drama,,,,,566, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Kids in the Hall: Brain Candy (1996),Comedy,,,,,1006, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi,,,,,198, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Operation Dumbo Drop (1995),Action|Adventure|Comedy|War,,,,,521, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Truth About Cats & Dogs, The (1996)",Comedy|Romance,,,,,83, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Flipper (1996),Adventure|Children's,,,,,1190, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",Drama,,,,,662, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Wallace & Gromit: The Best of Aardman Animation (1996),Animation,,,,,612, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Haunted World of Edward D. Wood Jr., The (1995)",Documentary,,,,,721, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Cold Comfort Farm (1995),Comedy,,,,,665, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Rock, The (1996)",Action|Adventure|Thriller,,,,,140, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Twister (1996),Action|Adventure|Thriller,,,,,23, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Maya Lin: A Strong Clear Vision (1994),Documentary,,,,,1135, [SEP]  [SEP]  [SEP] ,3,True
Striptease (1996),Comedy|Crime,,,,,467, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Independence Day (ID4) (1996),Action|Sci-Fi|War,,,,,403, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Cable Guy, The (1996)",Comedy,,,,,510, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Frighteners, The (1996)",Comedy|Horror,,,,,861, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Lone Star (1996),Drama|Mystery,,,,,873, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Phenomenon (1996),Drama|Romance,,,,,552, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Spitfire Grill, The (1996)",Drama,,,,,387, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Godfather, The (1972)",Action|Crime|Drama,,,,,189, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Supercop (1992),Action|Thriller,,,,,444, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Bound (1996),Crime|Drama|Romance|Thriller,,,,,501, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Kansas City (1996),Crime,,,,,1316, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Breakfast at Tiffany's (1961),Drama|Romance,,,,,546, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical,,,,,100, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Gone with the Wind (1939),Drama|Romance|War,,,,,220, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Citizen Kane (1941),Drama,,,,,260, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
2001: A Space Odyssey (1968),Drama|Mystery|Sci-Fi|Thriller,,,,,118, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Mr. Smith Goes to Washington (1939),Drama,,,,,936, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Big Night (1996),Drama,,,,,148, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
D3: The Mighty Ducks (1996),Children's|Comedy,,,,,598, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Love Bug, The (1969)",Children's|Comedy,,,,,831, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Homeward Bound: The Incredible Journey (1993),Adventure|Children's,,,,,122, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"20,000 Leagues Under the Sea (1954)",Adventure|Children's|Fantasy|Sci-Fi,,,,,218, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Bedknobs and Broomsticks (1971),Adventure|Children's|Musical,,,,,385, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Sound of Music, The (1965)",Musical,,,,,56, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Die Hard (1988),Action|Thriller,,,,,22, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Lawnmower Man, The (1992)",Action|Sci-Fi|Thriller,,,,,215, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Unhook the Stars (1996),Drama,,,,,224, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Long Kiss Goodnight, The (1996)",Action|Thriller,,,,,452, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Ghost and the Darkness, The (1996)",Action|Adventure,,,,,577, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Jude (1996),Drama,,,,,870, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Swingers (1996),Comedy|Drama,,,,,371, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Willy Wonka and the Chocolate Factory (1971),Adventure|Children's|Comedy,,,,,103, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Sleeper (1973),Comedy|Sci-Fi,,,,,503, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Fish Called Wanda, A (1988)",Comedy,,,,,221, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Monty Python's Life of Brian (1979),Comedy,,,,,88, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Dirty Dancing (1987),Musical|Romance,,,,,526, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Reservoir Dogs (1992),Crime|Thriller,,,,,351, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Platoon (1986),Drama|War,,,,,740, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Weekend at Bernie's (1989),Comedy,,,,,945, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Basic Instinct (1992),Mystery|Thriller,,,,,895, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Glengarry Glen Ross (1992),Drama,,,,,250, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
